World Rank,Institution,Country,Total Score,Alumni,Award,HiCi,N&S,PUB,PCP
79,Huazhong University of Science and Technology, China,27.8,0,0,26.8,18.7,79.1,23
80,Aarhus University, Denmark,27.7,10.4,20.3,15.9,24.4,55.7,28.2
81,The Hebrew University of Jerusalem, Israel,27.6,29.8,26.1,13,22.7,43.2,30.7
82,Monash University, Australia,27.5,0,0,26,25.5,67.9,30.8
82,Nanjing University, China,27.5,0,0,26.8,27.6,66.8,26.6
82,The Ohio State University - Columbus, United States,27.5,10.4,16.8,20.6,21,62.7,17
85,Technion-Israel Institute of Technology, Israel,27.4,22,34.9,13,20.7,34.9,39.6
86,Seoul National University, South Korea,27.2,15.6,0,19.5,24.4,68.4,26
86,The University of Texas M. D. Anderson Cancer Center, United States,27.2,0,13.8,35.1,20.4,36.9,53.7
88,Uppsala University, Sweden,27.1,20.1,20.6,14.6,24,49.9,27.1
89,Wuhan University, China,27,0,0,29.1,20.5,72.5,20.3
90,Ghent University, Belgium,26.9,0,9.2,32.5,17.8,55.5,"
33.3"
90,King Saud University, Saudi Arabia,26.9,0,0,40.1,6.1,73,24.9
90,Nanyang Technological University, Singapore,26.9,0,0,42.2,20.4,53.9,30.3
90,University of Pittsburgh, United States,26.9,16.4,0,31.2,25.2,58,18.1
94,Central South University, China,26.7,0,0,27.6,9.3,81.6,24.5
95,University of Basel, Switzerland,26.6,21.4,14.1,15.9,29.7,40.1,39.2
95,Xi'an Jiaotong University, China,26.6,0,0,25.2,16.8,77.4,22
97,University of Bristol, United Kingdom,26.5,5.2,13,28.4,26.3,46,27.4
98,Sichuan University, China,26.4,0,0,21.6,15.4,81,22.6
99,University of Helsinki, Finland,26.3,15.6,16,18.4,21.7,51.8,26.4
100,Purdue University - West Lafayette, United States,26.1,11.6,20.9,20.6,19.8,49.3,23.2
